epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,14366,0.75655,0.39454,0.87107,0.80961,0.69078,0.71945,0.33639,1.67489,1.10287,1.4082,0.00182107,0.00182107,0.00182107
74,14562.9,0.75591,0.39374,0.86883,0.80593,0.6859,0.71483,0.33362,1.67667,1.10233,1.41034,0.00170175,0.00170175,0.00170175
75,14762.5,0.75008,0.39323,0.86984,0.80043,0.6807,0.71104,0.33138,1.67832,1.10317,1.41034,0.00158569,0.00158569,0.00158569
76,14962.2,0.74247,0.38727,0.8672,0.80108,0.67965,0.70922,0.32962,1.68091,1.10466,1.41104,0.001473,0.001473,0.001473
77,15157.2,0.74594,0.38965,0.86805,0.79567,0.67585,0.70697,0.32786,1.68292,1.10662,1.4112,0.0013638,0.0013638,0.0013638
78,15347.1,0.7477,0.39033,0.87015,0.7889,0.67464,0.70404,0.32646,1.68473,1.10896,1.41153,0.0012582,0.0012582,0.0012582
79,15536.9,0.73316,0.3817,0.86467,0.78511,0.67316,0.70207,0.3254,1.68638,1.11059,1.41158,0.00115629,0.00115629,0.00115629
80,15727.2,0.73628,0.38065,0.86605,0.79167,0.66566,0.69786,0.32303,1.68893,1.11334,1.41205,0.00105818,0.00105818,0.00105818
81,15916.8,0.72844,0.37924,0.8646,0.78544,0.65973,0.69369,0.32064,1.69107,1.11561,1.41263,0.00096396,0.00096396,0.00096396
82,16111.6,0.73273,0.37795,0.86384,0.78323,0.65635,0.69002,0.31817,1.69294,1.11767,1.41303,0.000873733,0.000873733,0.000873733
83,16311,0.72805,0.37601,0.86366,0.7758,0.65459,0.68625,0.31577,1.69441,1.11955,1.4135,0.000787582,0.000787582,0.000787582
84,16507.8,0.72248,0.37168,0.86099,0.7731,0.65074,0.68382,0.31403,1.69613,1.12112,1.41457,0.000705594,0.000705594,0.000705594
85,16697.8,0.71776,0.37155,0.86071,0.76844,0.64861,0.68097,0.31236,1.69881,1.12363,1.41615,0.000627848,0.000627848,0.000627848
86,16887.8,0.71968,0.37042,0.86235,0.76561,0.64681,0.67713,0.31011,1.70085,1.12629,1.41699,0.000554422,0.000554422,0.000554422
87,17077.6,0.71929,0.37368,0.85936,0.75958,0.64406,0.67303,0.30767,1.7029,1.12981,1.4178,0.000485389,0.000485389,0.000485389
88,17267.3,0.71939,0.36899,0.86209,0.75357,0.64161,0.66947,0.30573,1.70486,1.13225,1.41907,0.000420816,0.000420816,0.000420816
89,17457.1,0.71257,0.36576,0.85952,0.74983,0.6396,0.66628,0.30394,1.70641,1.13551,1.41995,0.000360766,0.000360766,0.000360766
90,17647.3,0.70802,0.36491,0.85787,0.74976,0.6336,0.66305,0.30264,1.70822,1.1387,1.421,0.000305301,0.000305301,0.000305301
91,17836.4,0.69793,0.35304,0.86127,0.74205,0.63075,0.65881,0.30061,1.71063,1.14314,1.42257,0.000254473,0.000254473,0.000254473
92,18024.5,0.69309,0.35092,0.85955,0.73161,0.62921,0.6549,0.29843,1.71194,1.14686,1.42353,0.000208333,0.000208333,0.000208333
